id,city,country,latitude,longitude
0,Blue Bell Hill,United Kingdom,51.33265,0.5046
1,Wye,United Kingdom,51.18249,0.93678
2,Dunkirk,United Kingdom,51.29169,0.97929
3,Beacon Hill,United Kingdom,51.4,0.43333
4,Kent,United Kingdom,51.27904,1.07992
5,Horsted,United Kingdom,51.37891,0.52786
6,Cranbrook,United Kingdom,51.08333,0.53333
7,NTL-Wye,United Kingdom,51.18249,0.93678
8,University of Greenwich,United Kingdom,51.44628,0.07703
9,CCCU-C,United Kingdom,51.27934,1.08936
10,CCCU-S,United Kingdom,51.15222,0.24307
11,CCCU-T,United Kingdom,51.35895,1.40616
12,KIAD-R,United Kingdom,51.37992,0.51438
13,KIAD-C,United Kingdom,51.27537,1.09078
14,KIAD-M,United Kingdom,51.27115,0.49799
15,Tonbridge,United Kingdom,51.18333,0.28333
