id,city,country,latitude,longitude
0,Jeonju,South Korea,35.82194,127.14889
1,Jeju,South Korea,33.50972,126.52194
2,Kwangju,South Korea,35.15472,126.91556
3,Busan,South Korea,35.10278,129.04028
4,Changwon,South Korea,35.22806,128.68111
5,Seoul,South Korea,37.56826,126.97783
6,Incheon,South Korea,37.45361,126.73167
7,Suwon,South Korea,37.29111,127.00889
8,Cheonan,South Korea,36.8065,127.1522
9,Ochang,South Korea,35.55292,127.49042
10,Daejeon,South Korea,36.32139,127.41972
11,Pohang,South Korea,36.03222,129.365
12,Daegu,South Korea,35.87028,128.59111
