source_id,target_id
0,30
1,6
2,30
3,30
4,7
5,10
6,42
6,57
7,42
8,48
9,22
10,30
11,34
12,13
12,41
13,28
14,30
15,30
16,19
16,30
17,23
18,19
18,21
18,22
20,25
22,23
22,30
23,48
24,30
25,30
26,30
26,31
26,66
27,30
27,55
28,37
29,37
29,38
30,31
30,34
30,35
30,36
30,39
30,40
30,42
30,44
30,45
30,48
30,49
30,50
30,51
30,52
30,55
30,59
30,61
30,62
31,59
32,50
33,34
36,56
38,39
38,58
41,60
42,43
42,46
42,56
47,48
48,53
48,54
62,63
63,64
65,66
66,67
66,68
