id,city,country,latitude,longitude
0,Iecava,Latvia,56.59861,24.20222
1,Vircava,Latvia,56.55972,23.77194
2,Kraslava,Latvia,55.89514,27.16799
3,Baldone,Latvia,56.70694,24.35194
4,Auce,Latvia,56.45981,22.90169
5,Broceni,Latvia,56.7,22.53333
6,Platone,Latvia,56.53722,23.69639
7,Dobele,Latvia,56.625,23.27861
8,Krimulda,Latvia,57.15861,24.70278
9,Vijkene,Latvia,57.60861,24.60722
10,Saldus,Latvia,56.66363,22.48807
11,Kapsede,Latvia,56.59,21.13862
12,Viesite,Latvia,56.34751,25.55514
13,Aizkroukle,Latvia,56.60477,25.25534
14,Vilani,Latvia,56.55253,26.92449
15,Gulbene,Latvia,57.17767,26.75291
16,Rujiena,Latvia,57.89752,25.33155
17,Salagriva,Latvia,57.75361,24.35806
18,Aloja,Latvia,57.76694,24.8825
19,Mazsalaca,Latvia,57.86329,25.05475
20,Strenci,Latvia,57.62574,25.68535
21,Pociems,Latvia,57.59639,24.85139
22,Limbazi,Latvia,57.51287,24.71941
23,Liepupe,Latvia,57.46389,24.46778
24,Skriveri,Latvia,56.645,25.12058
25,Valmiera,Latvia,57.54108,25.42751
26,Rezekne,Latvia,56.5,27.31667
27,Carnikava,Latvia,57.12944,24.27444
28,Jumprava,Latvia,56.6425,24.92056
29,Kegums,Latvia,56.7451,24.72439
30,Riga,Latvia,56.946,24.10589
31,Daugapils,Latvia,55.88333,26.53333
32,Ventspits,Latvia,57.38944,21.56056
33,Grobina,Latvia,56.53521,21.16782
34,Liepaja,Latvia,56.51667,21.01667
35,Ulbroka,Latvia,56.94111,24.28972
36,Olaine,Latvia,56.78528,23.93806
37,Lielvarde,Latvia,56.72066,24.80743
38,Ikskile,Latvia,56.83333,24.5
39,Salaspils,Latvia,56.86014,24.36544
40,Bauska,Latvia,56.4075,24.19056
41,Jekabpils,Latvia,56.49903,25.85735
42,Jelgava,Latvia,56.65,23.71278
43,Kalnciems,Latvia,56.83991,23.58902
44,Kekava,Latvia,56.82662,24.23
45,GEANT,,0.0,0.0
46,Livberze,Latvia,56.68833,23.5
47,Ledurga,Latvia,57.3224,24.74301
48,Sigulda,Latvia,57.15194,24.86472
49,Jurmala,Latvia,56.968,23.77038
50,Tukums,Latvia,56.96694,23.15528
51,Talsi,Latvia,57.24562,22.58137
52,Aizpute,Latvia,56.71667,21.6
53,Ragona,Latvia,57.18074,24.70731
54,Vangazi,Latvia,57.09361,24.54861
55,Adazi,Latvia,57.07583,24.32139
56,Ozolnieki,Latvia,56.68639,23.78778
57,Eleja,Latvia,56.41588,23.68335
58,Ogre,Latvia,56.8162,24.61401
59,Preili,Latvia,56.29444,26.72459
60,Livani,Latvia,56.35431,26.17579
61,Balvi,Latvia,57.1313,27.26583
62,Karsava,Latvia,56.78405,27.68829
63,Malnava,Latvia,56.77535,27.71902
64,Pusmucova,Latvia,56.63333,27.71667
65,Zvigzdene,Latvia,56.56667,27.66667
66,Ludza,Latvia,56.55,27.71667
67,Cibla,Latvia,56.55,27.88333
68,Zilupe,Latvia,56.38616,28.12165
