id,city,country,latitude,longitude
0,Zarasai,Lithuania,55.73333,26.25
1,Panevezys,Lithuania,55.73333,24.35
2,Rokiskis,Lithuania,55.96667,25.58333
3,Kupiskis,Lithuania,55.83333,24.96667
4,Kelme,Lithuania,55.63389,22.93417
5,Siale,,0.0,0.0
6,Radviliskis,Lithuania,55.81667,23.53333
7,Plunge,Lithuania,55.91139,21.84417
8,Taurage,Lithuania,55.25222,22.28972
9,Zemaiciu Naumiestis,Lithuania,55.35917,21.70222
10,Prienai,Lithuania,54.63333,23.95
11,Trakar,Lithuania,54.63333,24.93333
12,Ignalina,Lithuania,55.35,26.16667
13,Ukmerge,Lithuania,55.25,24.75
14,Sirvintos,Lithuania,55.05,24.95
15,Jurbarkas,Lithuania,55.07778,22.76639
16,Sakiai,Lithuania,54.95472,23.03583
17,Vilkaviskis,Lithuania,54.65167,23.03222
18,Marijampole,Lithuania,54.56667,23.35
19,Alytus,Lithuania,54.4,24.05
20,Druskininkai,Lithuania,54.01667,23.96667
21,Salcininkai,Lithuania,54.3,25.38333
22,GEANT,,0.0,0.0
23,Moletai,Lithuania,55.23333,25.41667
24,Visaginas,Lithuania,55.6,26.41667
25,Pasvalys,Lithuania,56.05944,24.40361
26,Kaunas,Lithuania,54.9,23.9
27,Kedainiai,Lithuania,55.28833,23.97472
28,Raseiniai,Lithuania,55.37361,23.12167
29,Utena,Lithuania,55.5,25.6
30,Anyksciai,Lithuania,55.52557,25.10264
31,Jonava,Lithuania,55.08333,24.28333
32,Vilnius,Lithuania,54.68916,25.2798
33,Klaipeda,Lithuania,55.71722,21.1175
34,Telsiai,Lithuania,55.98139,22.24722
35,Mazeikiai,Lithuania,56.31667,22.33333
36,N.Akmene,,0.0,0.0
37,Joniskis,Lithuania,56.24028,23.61528
38,Birzai,Lithuania,56.2,24.75
39,Siauliai,Lithuania,55.93333,23.31667
40,Skoudas,,0.0,0.0
41,Palanga,Lithuania,55.9175,21.06861
42,Kretinga,Lithuania,55.87583,21.25083
