id,city,country,latitude,longitude
0,UiTM,,0.0,0.0
1,UTP,Malaysia,4.5841,101.0829
2,UUM,Malaysia,5.35049,100.5574
3,UM,Malaysia,3.1412,101.68653
4,UNIMAS,Malaysia,1.55,110.33333
5,UMS,Malaysia,5.98333,116.06667
6,IUM,,0.0,0.0
7,UPSI,,0.0,0.0
8,Nottingham Malaysia,,0.0,0.0
9,UPM,Malaysia,5.20372,100.62476
10,UTHM,,0.0,0.0
11,UTM,Malaysia,1.4655,103.7578
12,UMT,,0.0,0.0
13,UMK,Malaysia,6.13328,102.2386
14,UDM,,0.0,0.0
15,UMP,Malaysia,3.8077,103.326
16,UPNIM,,0.0,0.0
17,UTeM,,0.0,0.0
18,NOC,,0.0,0.0
19,UKM,Malaysia,2.9174,101.8157
20,MMU,Malaysia,2.92281,101.65718
21,USIM,Malaysia,2.71667,101.93333
22,UNITEN,Malaysia,3.8077,103.326
23,MIMOS,,0.0,0.0
24,Monash Malaysia,Malaysia,3.10726,101.60671
25,TMRnD,,0.0,0.0
26,MoHE,,0.0,0.0
27,USM,Malaysia,5.41123,100.33543
28,UniMAP,,0.0,0.0
29,Cyberjaya PoP (NOC),Malaysia,2.92281,101.65718
30,Border Router,,0.0,0.0
31,South PoP (UTM),Malaysia,1.4655,103.7578
32,East Coast PoP (UMP),Malaysia,3.8077,103.326
33,North PoP (USM),Malaysia,5.41123,100.33543
34,KL PoP (UM),Malaysia,3.1412,101.68653
35,TEIN,,0.0,0.0
36,Commodity Internet,,0.0,0.0
