id,city,country,latitude,longitude
0,New York,Canada,43.08342,-79.06627
1,Montreal,Canada,45.50884,-73.58781
2,Halifax,Canada,44.646,-63.57333
3,Los Angeles,Canada,63.05082,-139.52642
4,Toronto,Canada,43.70011,-79.4163
5,Vancouver,Canada,49.24966,-123.11934
6,Victoria,Canada,48.43294,-123.3693
7,Seattle,Canada,60.08677,-139.20265
8,Calgary,Canada,51.05011,-114.08529
9,Edmonton,Canada,53.55014,-113.46871
10,Saskatoon,Canada,52.11679,-106.63452
11,Regina,Canada,50.45008,-104.6178
12,Winnipeg,Canada,49.8844,-97.14704
