id,city,country,latitude,longitude
0,Miskolc,Hungary,48.1,20.78333
1,Sarospatak,Hungary,48.31667,21.58333
2,Gyongyos,Hungary,47.78333,19.93333
3,Eger,Hungary,47.90265,20.37329
4,Godollo,Hungary,47.6,19.36667
5,Jaszbereny,Hungary,47.5,19.91667
6,Nyiregyhaza,Hungary,47.95539,21.71671
7,Debrecen,Hungary,47.53333,21.63333
8,Szolnok,Hungary,47.18333,20.2
9,Kecskemet,Hungary,46.90618,19.69128
10,Szekesfahervar,Hungary,47.18995,18.41034
11,Veszprem,Hungary,47.09327,17.91149
12,Keszthely,Hungary,46.76667,17.25
13,Nagykanizsa,Hungary,46.45347,16.99104
14,Zalaegerszeg,Hungary,46.84,16.84389
15,Szombathely,Hungary,47.23088,16.62155
16,Kaposvar,Hungary,46.36667,17.8
17,Szekszard,Hungary,46.35,18.71667
18,Hodmazovasarhely,Hungary,46.41667,20.33333
19,Bekescsaba,Hungary,46.68333,21.1
20,Szavas,Hungary,46.86667,20.55
21,Dunaujvaros,Hungary,46.98333,18.93333
22,Baja,Hungary,46.18333,18.96667
23,Pecs,Hungary,46.08333,18.23333
24,Szabadka,Hungary,46.58333,21.18333
25,Szeged,Hungary,46.253,20.14824
26,Mosonmagyarovar,Hungary,47.86667,17.28333
27,Sopron,Hungary,47.68333,16.6
28,GEANT,,0.0,0.0
29,Salgotarjan,Hungary,48.09872,19.80303
30,Vac,Hungary,47.78333,19.13333
31,Esztergom,Hungary,47.8,18.75
32,Budapest,Hungary,47.49801,19.03991
33,Revkomarom,Hungary,47.73333,18.11667
34,Piliscsaba,Hungary,47.61667,18.83333
35,Gyor,Hungary,47.68333,17.63512
