id,city,country,latitude,longitude
0,Spokane,United States,47.65878,-117.42605
1,Coeur d'Alene,United States,47.67768,-116.78047
2,Wenatchee,United States,47.42346,-120.31035
3,Othello,United States,46.82597,-119.17529
4,Walla Walla,United States,46.06458,-118.34302
5,Pasco,United States,46.23958,-119.10057
6,Pullman,United States,46.73127,-117.17962
7,Lewiston,United States,46.41655,-117.01766
8,Kennewick,United States,46.21125,-119.13723
9,Yakima,United States,46.60207,-120.5059
10,Ellensburg,United States,46.99651,-120.54785
11,Vancouver,Canada,49.24966,-123.11934
12,Bellingham,United States,48.75955,-122.48822
13,Mt Vernon,United States,48.42122,-122.33405
14,Everett,United States,47.97898,-122.20208
15,Westin - Seattle,United States,47.6129,-122.3377
16,Tacoma,United States,47.25288,-122.44429
17,Olympia,United States,47.03787,-122.9007
18,Portland,United States,45.52345,-122.67621
