id,city,country,latitude,longitude
0,Lviv,Ukraine,49.83826,24.02324
1,Oslo,Norway,59.91273,10.74609
2,Kaunas,Lithuania,54.9,23.9
3,Warsaw,Poland,52.22977,21.01178
4,Tallinn,Estonia,59.43696,24.75353
5,Riga,Latvia,56.946,24.10589
6,Stockholm,Sweden,59.33258,18.0649
7,Helsinki,Finland,60.16952,24.93545
8,Copenhagen,Denmark,55.67594,12.56553
9,Reykjavik,Iceland,64.13548,-21.89541
10,TEN-,,0.0,0.0
11,USA,,0.0,0.0
12,Petrozavodsk,Russia,61.78491,34.34691
13,St Petersburg,Russia,59.89444,30.26417
