id,city,country,latitude,longitude
0,Poznan,,0.0,0.0
1,GEANT,,0.0,0.0
2,London,,0.0,0.0
3,Amsterdam GLORIAD,,0.0,0.0
4,"ICELINK: Greenland, Canada, USA",,0.0,0.0
6,GLORIAD,,0.0,0.0
7,INTERNET,,0.0,0.0
9,New York,,0.0,0.0
10,Reyjavik,Iceland,64.13548,-21.89541
11,Oslo,Norway,59.91273,10.74609
12,Stockholm,Sweden,59.33258,18.0649
13,Espoo,Finland,60.2052,24.6522
14,Helsinki,Finland,60.16952,24.93545
15,St Petersburg,,0.0,0.0
16,Copenhagen,Denmark,55.67594,12.56553
17,Hamburg,Germany,53.55,10.0
