id,city,country,latitude,longitude
0,"SEQSUINET, Rice University, Houston",United States,29.76328,-95.36327
1,"Jon Von Neumann Center, Princeton, NJ",United States,40.34872,-74.65905
2,"SURANET, Georgia Tech, Atlanta",United States,33.749,-84.38798
3,Pittsburgh Supercomputer Center,United States,40.44062,-79.99589
4,"Cornell Theory Center, Ithaca NY",United States,42.44063,-76.49661
5,"NorthWestNet, Seattle",United States,47.60621,-122.33207
6,"BARRnet, Palo Alto",United States,37.44188,-122.14302
7,San Diego Supercomputer Center,United States,32.71533,-117.15726
8,"Westnet, Salt Lake City",United States,40.76078,-111.89105
9,"NCAR, Boulder",United States,40.01499,-105.27055
10,"MIDnet, Lincoln, NE",United States,40.8,-96.66696
11,"NCSA, University of Illinois, Champaign",United States,40.11642,-88.24338
12,"Merit Univ of Michigan, Ann Arbor",United States,42.27756,-83.74088
