id,city,country,latitude,longitude
0,Washington DC,United States,38.89511,-77.03637
1,Miami,United States,25.77427,-80.19366
2,Atlanta,United States,33.749,-84.38798
3,New York City,United States,40.71427,-74.00597
4,Geneva,Switzerland,46.20222,6.14569
5,Frankfurt,Germany,50.11667,8.68333
6,Paris,France,48.85341,2.3488
7,Madrid,Spain,40.4165,-3.70256
8,Dusseldorf,Germany,51.22172,6.77616
9,Amsterdam,Netherlands,52.37403,4.88969
10,Cairo,Egypt,30.06263,31.24967
11,Ar Riyad,Saudi Arabia,24.68773,46.72185
12,Chennai,India,13.08784,80.27847
13,Colombo,Sri Lanka,6.93194,79.84778
14,Bangkok,Thailand,13.75,100.51667
15,Ho Chi Minh,Vietnam,10.75,106.66667
16,Brunei,Brunei,4.94029,114.94806
17,Lagos,Nigeria,6.45306,3.39583
18,Johannesburg,South Africa,-26.20227,28.04363
19,Cape Town,South Africa,-33.91667,18.41667
20,Seoul,South Korea,37.56826,126.97783
21,Dubai,United Arab Emirates,25.25222,55.28
22,Beijing,China,39.9075,116.39723
23,Shanghai,China,31.22222,121.45806
24,London,United Kingdom,51.50853,-0.12574
25,Wellington,New Zealand,-41.28664,174.77557
26,Mountain View,United States,37.38605,-122.08385
27,Mumbai,India,19.01441,72.84794
28,Rangoon,Myanmar [Burma],16.80528,96.15611
29,Hong Kong,Hong Kong,22.28552,114.15769
30,Tokyo,Japan,35.61488,139.5813
31,Osaka,Japan,34.69374,135.50218
32,Warsaw,Poland,52.22977,21.01178
33,Macau,Macau,22.20056,113.54611
34,Hanoi,Vietnam,21.0245,105.84117
35,Manila,Philippines,14.6042,120.9822
36,Tapei,Hungary,46.31667,20.11667
37,Dallas,United States,32.78306,-96.80667
38,Houston,United States,29.76328,-95.36327
39,Kuala Lumpur,Malaysia,3.1412,101.68653
40,Singapore,Singapore,1.28967,103.85007
41,Jakarta,Indonesia,-6.21462,106.84513
42,Sydney,Australia,-33.86785,151.20732
43,San Jose,United States,37.33939,-121.89496
44,Los Angeles,United States,34.05223,-118.24368
45,Seattle,United States,47.60621,-122.33207
46,Chicago,United States,41.85003,-87.65005
