id,city,country,latitude,longitude
0,KRLight,,0.0,0.0
1,CANARIE,,0.0,0.0
2,NLR FrameNet,,0.0,0.0
3,CSTNet HKEOEP,,0.0,0.0
4,StarLight,,0.0,0.0
5,Pacific Northwest Gigapop,,0.0,0.0
12,Internet2 DCN,,0.0,0.0
17,CENIC,,0.0,0.0
10,Pacific Wave Sunnyvale,United States,37.36883,-122.03635
11,Pacific Wave Seattle,United States,47.60621,-122.33207
13,Pacific Wave Hawaii,,0.0,0.0
14,AARNET Sydney,,0.0,0.0
15,Pacific Wave Los Angeles,United States,34.05223,-118.24368
16,JGN2 Plus Tokyo,,0.0,0.0
