id,city,country,latitude,longitude
0,Miami,United States,25.77427,-80.19366
1,London,United Kingdom,51.50853,-0.12574
2,Ashburn/Washington,United States,39.04372,-77.48749
3,New York,United States,40.71427,-74.00597
4,Paris,France,48.85341,2.3488
5,Milan,Italy,45.46427,9.18951
6,Amsterdam,Netherlands,52.37403,4.88969
7,Frankfurt,Germany,50.11667,8.68333
8,Hong Kong,Hong Kong,22.28552,114.15769
9,Singapore,Singapore,1.28967,103.85007
10,Los Angeles,United States,34.05223,-118.24368
11,Kansas City,United States,39.11417,-94.62746
12,Chicago,United States,41.85003,-87.65005
13,Seattle,United States,47.60621,-122.33207
14,San Francisco,United States,37.77493,-122.41942
15,San Jose,Costa Rica,9.93333,-84.08333
16,Houston,United States,29.76328,-95.36327
17,Las Vegas,United States,36.17497,-115.13722
18,Phoenix,United States,33.44838,-112.07404
19,Dallas,United States,32.78306,-96.80667
20,Atlanta,United States,33.749,-84.38798
