id,city,country,latitude,longitude
0,Rock Hill,United States,34.92487,-81.02508
1,Charlotte,United States,35.22709,-80.84313
2,Bethune,United States,34.41488,-80.34868
3,Lancaster,United States,34.72043,-80.7709
4,Courtney,United States,36.06014,-80.62062
5,Lexington,United States,35.82403,-80.25338
6,Concord,United States,35.40875,-80.57951
7,Salisbury,United States,35.64375,-80.46256
8,High Point,United States,35.95569,-80.00532
9,Asheboro,United States,35.70791,-79.81364
10,Orangeburg,United States,33.49182,-80.85565
11,Aiken,United States,33.56042,-81.71955
12,Chester,United States,34.70486,-81.21426
13,Columbia,United States,34.00071,-81.03481
14,Sumter,United States,33.92044,-80.34147
15,Georgetown,United States,33.37683,-79.2945
16,Moncks Corner,United States,33.196,-80.01314
17,Charleston,United States,32.77657,-79.93092
18,St George,United States,33.186,-80.57565
19,Walterboro,United States,32.90517,-80.66677
20,Yemassee,United States,32.69018,-80.85066
21,Augusta,United States,33.5018,-81.96512
22,Hilton Head,United States,32.21632,-80.75261
23,Beaufort,United States,32.43158,-80.66983
24,Savannah,United States,32.08354,-81.09983
25,Greenwood,United States,34.1954,-82.16179
26,Due West,United States,34.33345,-82.3879
27,Spartanburg,United States,34.94957,-81.93205
28,Asheville,United States,35.60095,-82.55402
29,Boone,United States,36.2168,-81.67455
30,Hickory,United States,35.73319,-81.3412
31,Anderson,United States,34.50344,-82.65013
32,Clemson,United States,34.68344,-82.83737
33,Toccoa,United States,34.57732,-83.33239
34,Greenville,United States,34.85262,-82.39401
35,Myrtle Beach,United States,33.68906,-78.88669
36,Florence,United States,34.19543,-79.76256
37,Baldwin,United States,36.34763,-81.53288
38,Sparta,United States,36.50541,-81.12092
39,Level Cross,United States,36.4993,-80.60729
40,Greensboro,United States,36.07264,-79.79198
41,Raleigh,United States,35.7721,-78.63861
42,Rocky Mount,United States,35.9246,-77.79665
43,Fayetteville,United States,35.05266,-78.87836
44,Wilmington,United States,34.22573,-77.94471
