id,city,country,latitude,longitude
0,Herndon/Ashburn,United States,39.04372,-77.48749
1,Miami,United States,25.77427,-80.19366
2,Montreal,Canada,45.50884,-73.58781
3,New York,United States,40.71427,-74.00597
4,London,United Kingdom,51.50853,-0.12574
5,Amsterdam,Netherlands,52.37403,4.88969
6,Chicago,United States,41.85003,-87.65005
7,Toronto,Canada,43.70011,-79.4163
8,Vancouver,Canada,49.24966,-123.11934
9,Seattle,United States,47.60621,-122.33207
10,Fremont,United States,37.54827,-121.98857
11,San Jose,Costa Rica,9.93333,-84.08333
12,Los Angeles,United States,34.05223,-118.24368
13,Dallas,United States,32.78306,-96.80667
14,San Antonio,United States,29.42412,-98.49363
15,Atlanta,United States,33.749,-84.38798
