id,city,country,latitude,longitude
0,Warszawa,Poland,52.22977,21.01178
1,Radom,Poland,51.40253,21.14714
2,Belarus,,0.0,0.0
3,Bialystok,Poland,53.13333,23.15
4,Lublin,Poland,51.25,22.56667
5,Ukraine,,0.0,0.0
6,Lodz,Poland,51.75,19.46667
7,Pulawy,Poland,51.41655,21.96939
8,Rzeszow,Poland,50.04132,21.99901
9,Kielce,Poland,50.87033,20.62752
10,Elblag,Poland,54.1522,19.40884
11,Suwalki,Poland,54.11175,22.93087
12,Sochaczew,Poland,52.22944,20.23838
13,Gorzow Wlkp,Poland,52.73679,15.22878
14,SURFnet/NORDUnet,,0.0,0.0
15,DFN,,0.0,0.0
16,GEANT,,0.0,0.0
17,Internet,,0.0,0.0
18,Bielsko-Biala,Poland,49.82245,19.04686
19,Zamosc,Poland,50.72314,23.25196
20,Czechtochowa,Poland,50.79646,19.12409
21,CESNET,,0.0,0.0
22,SANET,,0.0,0.0
23,Krakow,Poland,50.08333,19.91667
24,Geant2/Internet,,0.0,0.0
25,Wroclaw,Poland,51.1,17.03333
26,Opole,Poland,50.66667,17.95
27,Gliwice,Poland,50.28333,18.66667
28,Olsztyn,Poland,53.78333,20.48333
29,Lithuania,,0.0,0.0
30,Gdansk,Poland,54.35205,18.64637
31,Koszalin,Poland,54.19438,16.17222
32,Szczecin,Poland,53.42894,14.55302
33,Zielona gora,Poland,51.93548,15.50643
34,Poznan,Poland,52.41667,16.96667
35,Bydgoszcz,Poland,53.1235,18.00762
36,Torun,Poland,53.01375,18.59814
37,Russia,,0.0,0.0
