id,city,country,latitude,longitude
0,Auckland,New Zealand,-36.86667,174.76667
1,Fiji,Fiji,-18.0,178.0
11,Sydney,Australia,-33.86785,151.20732
4,Sacramento,United States,38.58157,-121.4944
5,Los Angeles,United States,34.05223,-118.24368
6,Hawaii,United States,21.30694,-157.85833
8,Taiwan,Taiwan,24.0,121.0
15,Philippines,Philippines,13.0,122.0
10,Melbourne,Australia,-37.814,144.96332
12,Korea,South Korea,37.0,127.5
13,Japan,Japan,35.68536,139.75309
14,Guam,Guam,13.44444,144.73667
16,Hong Kong,Hong Kong,22.25,114.16667
17,Singapore/Malaysia,Singapore,1.36667,103.8
18,Thailand,Thailand,15.0,100.0
19,Perth,Australia,-31.93333,115.83333
