id,city,country,latitude,longitude
0,Navarra,Spain,42.81687,-1.64323
1,Rioja,Spain,42.46667,-2.45
2,Cantabria,Spain,43.46472,-3.80444
3,Pais Vasco,Spain,43.0,-2.75
4,Baleares,Spain,39.56939,2.65024
5,Valencia,Spain,39.46975,-0.37739
6,Aragon,Spain,41.65606,-0.87734
7,Cataluna,Spain,41.38879,2.15899
8,Murcia,Spain,37.98333,-1.11667
9,Galacia,Spain,42.88052,-8.54569
10,Asturias,Spain,43.36029,-5.84476
11,Extremadura,Spain,38.88333,-6.96667
12,Andalucia,Spain,37.37722,-5.98694
13,Canarias (las palmas),Spain,28.1,-15.41667
14,Canarias (tenerife),Spain,28.48333,-16.31667
15,Castilla La Mancha,Spain,38.98333,-3.93333
16,Nacional,Spain,40.4165,-3.70256
17,Madrid,Spain,40.4165,-3.70256
18,Castilla Y Leon,Spain,41.65,-4.71667
