id,city,country,latitude,longitude
0,Bordeaux,France,44.83333,-0.56667
1,Toulouse,France,43.60426,1.44367
2,Orleans,France,47.91667,1.9
3,Limoges,France,45.83153,1.2578
4,Dijon,France,47.31667,5.01667
5,Besancon,France,47.25,6.03333
6,Montpellier,France,43.6,3.88333
7,Clermont-Ferrand,France,45.78333,3.08333
8,Grenoble,France,45.16667,5.71667
9,Nice,France,43.70313,7.26608
10,Connexion vers le Star Tap,,0.0,0.0
11,Connexion Asie Pacifique,,0.0,0.0
12,Lyon,France,45.75,4.85
13,Paris,France,48.85341,2.3488
14,Corte,France,42.3,9.15
15,Marseille,France,43.3,5.4
16,Geant,,0.0,0.0
17,SFINX,,0.0,0.0
18,"Martinique, Guadeloupe, Guyane, La Reunion, Nouvelle Caledonie, Tahiti",,0.0,0.0
19,Internet mondial,,0.0,0.0
20,Nantes,France,47.21725,-1.55336
21,Poiters,France,46.58333,0.33333
22,Strasbourg,France,48.58333,7.75
23,Nancy,France,48.68333,6.2
24,Reims,France,49.25,4.03333
25,Compiegne,France,49.41794,2.82606
26,Lille,France,50.63333,3.06667
27,Rouen,France,49.44313,1.09932
28,Caen,France,49.18585,-0.35912
29,Rennes,France,48.08333,-1.68333
