id,city,country,latitude,longitude
0,Walferdange,Luxembourg,49.65833,6.13722
1,CCRN,Luxembourg,49.61167,6.13
2,Ettelbruck,Luxembourg,49.8475,6.10417
3,Diekirch,Luxembourg,49.86778,6.15583
4,GEANT Paris (FR),,0.0,0.0
5,Internet via Bruxelles (BE),,0.0,0.0
6,ADSL (via EPT),,0.0,0.0
7,France,,0.0,0.0
8,GEANT Frankfurt (DE),,0.0,0.0
9,RESTENA,Luxembourg,49.62389,6.14944
10,BCE,Luxembourg,49.62389,6.14944
11,ADSL (via Tango),,0.0,0.0
12,UNI.iu,Luxembourg,49.62083,6.12167
13,Rollingergrund,Luxembourg,49.62278,6.10778
14,Campus Geesseknaeppchen,Luxembourg,49.6025,6.12417
15,Esch-sur-Alzette,Luxembourg,49.49583,5.98056
16,Bettembourg,Luxembourg,49.51861,6.10278
17,Luxembourg,Luxembourg,49.61167,6.13
18,Limpertsberg,Luxembourg,49.62083,6.12167
