id,city,country,latitude,longitude
0,Solborg-Akureyri,Iceland,65.68353,-18.0878
1,Fjarski,Iceland,64.13548,-21.89541
2,FSA-Akureyri,Iceland,65.68353,-18.0878
3,DST-Akureyri,Iceland,65.68353,-18.0878
4,RIX,,0.0,0.0
5,NORDUnet,,0.0,0.0
6,Hvanneyri,Iceland,66.15134,-18.90512
7,Bifrost,,0.0,0.0
8,Grensas,Iceland,64.13548,-21.89541
9,Skulagata,Iceland,64.13548,-21.89541
10,Taeknigarour,Iceland,64.13548,-21.89541
11,Sturlugata,Iceland,64.13548,-21.89541
12,Hringbraut,Iceland,64.13548,-21.89541
13,Bustaoavegur,Iceland,64.13548,-21.89541
14,Ofanleiti,Iceland,63.41972,-20.2944
15,Keldhaholt,Iceland,66.15134,-18.90512
