id,city,country,latitude,longitude
0,Revife,Brazil,-8.05389,-34.88111
1,Maceio,Brazil,-9.66583,-35.73528
2,Campina Grande,Brazil,-7.23056,-35.88111
3,Jobo Passoa,Brazil,-7.115,-34.86306
4,Brasilia,Brazil,-15.77972,-47.92972
5,Belo Horizonte,Brazil,-19.92083,-43.93778
6,Aracaju,Brazil,-10.91111,-37.07167
7,Salvador,Brazil,-12.97111,-38.51083
8,Vitoria,Brazil,-20.31944,-40.33778
9,Rio de Janeiro,Brazil,-22.90278,-43.2075
10,Manaus,Brazil,-3.10194,-60.025
11,Goiania,Brazil,-16.67861,-49.25389
12,Cuiaba,Brazil,-15.59611,-56.09667
13,Curitiba,Brazil,-25.42778,-49.27306
14,Porto Alegro,Brazil,-30.03306,-51.23
15,Florianopolis,Brazil,-27.59667,-48.54917
16,Sao Paulo,Brazil,-23.5475,-46.63611
17,Porto Velho,Brazil,-8.76194,-63.90389
18,Rio Branco,Brazil,-9.97472,-67.81
19,Palmas,Brazil,-10.21278,-48.36028
20,Campo Grande,Brazil,-20.44278,-54.64639
21,Teresina,Brazil,-5.08917,-42.80194
22,Natal,Brazil,-5.795,-35.20944
23,RedCLARA,,0.0,0.0
24,Inetnet Comercial,,0.0,0.0
25,Americas Light,,0.0,0.0
26,Boa Vista,Brazil,2.81972,-60.67333
27,Macapa,Brazil,0.03889,-51.06639
28,Belem,Brazil,-1.45583,-48.50444
29,Sao Luis,Brazil,-2.52972,-44.30278
30,Fortaleza,Brazil,-3.71722,-38.54306
