id,city,country,latitude,longitude
0,Dolj,Romania,44.31667,23.8
1,Olt,Romania,44.43333,24.36667
2,Gorj,Romania,45.05,23.28333
3,Valcea,Romania,45.1,24.36667
4,Bucaresti,Romania,44.43225,26.10626
5,Ialomita,Romania,44.71667,26.63333
6,Teleorman,Romania,43.98333,25.33333
7,Giurgiu,Romania,43.88333,25.96667
8,Calarasi,Romania,44.2,27.33333
9,Constanta,Romania,44.18333,28.65
10,Covasna,Romania,45.85,26.18333
11,Sibiu,Romania,45.8,24.15
12,Alba,Romania,46.06667,23.58333
13,Arges,Romania,44.85,24.86667
14,Dambovita,Romania,44.93333,25.45
15,Prahova,Romania,44.95,26.01667
16,Buzau,Romania,45.15,26.83333
17,Vrancea,Romania,45.7,27.18333
18,Bacau,Romania,46.56667,26.9
19,Harghita,Romania,46.3,25.3
20,GEANT,,0.0,0.0
21,Chisinau RENAM,,0.0,0.0
22,Mures,Romania,46.54245,24.55747
23,Bistrita-Nasaud,Romania,47.13316,24.50011
24,Vaslui,Romania,46.63333,27.73333
25,Galati,Romania,45.45,28.05
26,Tulcea,Romania,45.16667,28.8
27,Braila,Romania,45.26667,27.98333
28,Neamt,Romania,46.91667,26.33333
29,Suceava,Romania,47.63333,26.25
30,Botosani,Romania,47.75,26.66667
31,Iasi,Romania,47.16667,27.6
32,Caras-Severin,Romania,45.30083,21.88917
33,Mehedinti,Romania,44.63194,22.65611
34,Satu Mare,Romania,47.8,22.88333
35,Maramures,Romania,47.65729,23.56808
36,Cluj,Romania,46.76667,23.6
37,Salaj,Romania,47.2,23.05
38,Bihor,Romania,47.06667,21.93333
39,Arad,Romania,46.18333,21.31667
40,Timis,Romania,45.74944,21.22722
41,Hunedora,Romania,45.75,22.9
