id,city,country,latitude,longitude
0,New York,United States,40.71427,-74.00597
1,Philadelphia,United States,39.95234,-75.16379
2,Detroit,United States,42.33143,-83.04575
3,Pittsburgh,United States,40.44062,-79.99589
4,Houston,United States,29.76328,-95.36327
5,Austin,United States,30.26715,-97.74306
6,"Washington, DC",United States,38.89511,-77.03637
7,Atlanta,United States,33.749,-84.38798
8,Dallas,United States,32.78306,-96.80667
9,Champaign,United States,40.11642,-88.24338
10,Chicago,United States,41.85003,-87.65005
11,San Francisco,United States,37.77493,-122.41942
12,Los Angeles,United States,34.05223,-118.24368
13,San Diego,United States,32.71533,-117.15726
14,Phoenix,United States,33.44838,-112.07404
15,Salt Lake City,United States,40.76078,-111.89105
16,Denver,United States,39.73915,-104.9847
17,Kansas City,United States,39.11417,-94.62746
18,St Louis,United States,38.62727,-90.19789
