source_id,target_id
0,1
0,2
0,3
0,5
0,10
0,64
0,65
0,72
0,73
4,5
5,7
5,49
5,57
5,58
6,10
8,28
9,28
10,11
10,27
10,59
12,20
13,28
14,28
15,20
16,24
17,24
18,49
19,49
20,21
20,22
20,23
20,28
20,59
24,25
24,28
24,40
24,41
24,49
24,66
26,28
28,29
28,30
28,31
28,32
28,33
28,36
28,37
28,38
28,39
28,44
28,46
28,47
28,48
28,51
28,55
28,60
28,61
28,62
28,63
42,44
43,44
44,45
44,70
49,50
49,59
52,59
53,59
54,59
56,59
66,67
66,70
67,68
69,70
70,71
