id,city,country,latitude,longitude
0,Fukuoka DC,Japan,33.60639,130.41806
1,Oita U,Japan,33.23806,131.6125
2,Kyushu U,Japan,33.0,131.0
3,Kyushu IT,,0.0,0.0
4,Hiroshima U,Japan,34.39627,132.45937
5,Hiroshima DC,Japan,34.39627,132.45937
6,Ehime U,Japan,33.83916,132.76574
7,Yamaguchi U,Japan,34.18583,131.47139
8,"IMS, U Tokyo",,0.0,0.0
9,"ISSP, U Tokyo",,0.0,0.0
10,Matsuyama DC,Japan,33.83916,132.76574
11,Kagawa U,Japan,34.34028,134.04333
12,"Kamioka Obs, ICRR, U Tokyo",,0.0,0.0
13,Chiba U,Japan,35.60472,140.12333
14,Shinshu U,Japan,35.16667,133.56667
15,NIFS,,0.0,0.0
16,Kanazawa U,Japan,36.59444,136.62556
17,JAIST,,0.0,0.0
18,Doshisha U,Japan,34.80559,135.77841
19,"ICR, Kyoto U",,0.0,0.0
20,Nagoya DC,Japan,35.18147,136.90641
21,NINS-Okazaki,,0.0,0.0
22,Shizuoka U,Japan,34.97694,138.38306
23,Nagoya U,Japan,35.18147,136.90641
24,Kanazawa DC,Japan,36.59444,136.62556
25,Toyama U,Japan,36.69528,137.21139
26,Yamanashi U,Japan,35.66389,138.56833
27,U Tokushima,Japan,34.06583,134.55944
28,Tokyo DC,Japan,35.61488,139.5813
29,NII,,0.0,0.0
30,NII-CHiba,,0.0,0.0
31,"GSIST, U Tokyo",,0.0,0.0
32,U Electro-Communications,,0.0,0.0
33,RIKEN,,0.0,0.0
36,JAXA-ISAS,,0.0,0.0
37,Yokohama National U,,0.0,0.0
38,Keio U,Japan,35.62522,139.42416
39,Tokyo IT,,0.0,0.0
40,Niigata U,Japan,37.90222,139.02361
41,Fukui U,Japan,36.06443,136.22257
42,KEK,,0.0,0.0
43,JAEA,,0.0,0.0
44,Tsukuba DC,Japan,36.2,140.1
45,U Tsukuba,Japan,36.2,140.1
46,Gunma U,Japan,36.39111,139.06083
47,ISM,,0.0,0.0
48,U Tokyo,Japan,35.61488,139.5813
49,Kyoto DC,Japan,35.02107,135.75385
50,Kyoto U,Japan,35.02107,135.75385
51,Waseda U,Japan,38.3,139.55
52,Kansai U,Japan,34.27339,136.5065
53,Osaka U,Japan,34.69374,135.50218
54,Kobe U,Japan,34.6913,135.183
55,JAMSTEC,,0.0,0.0
56,JASRI,,0.0,0.0
57,Tottori U,Japan,35.5,134.23333
58,Okayama U,Japan,34.66167,133.935
59,Osaka DC,Japan,34.69374,135.50218
60,NAOJ,,0.0,0.0
61,Saitama U,Japan,35.90807,139.65657
62,JAXA-IAT,,0.0,0.0
63,Tokyo U Ag and Tech,,0.0,0.0
64,Nagasaki U,Japan,32.74472,129.87361
65,Kurnamoto U,,0.0,0.0
66,Sapporo DC,Japan,43.06417,141.34694
67,Hokkaido U,Japan,43.06417,141.34694
68,Kitami IT,,0.0,0.0
69,Hirosaki U,Japan,40.59306,140.4725
70,Sendai DC,Japan,38.26889,140.87194
71,Tohoku U,Japan,32.76667,131.36667
72,U of the Ryukyus,,0.0,0.0
73,Kagoshima U,Japan,31.56018,130.55814
