id,city,country,latitude,longitude
0,Westerbork,Netherlands,52.85,6.60833
1,Dwingeloo,Netherlands,52.83417,6.36944
2,Groningen,Netherlands,53.21917,6.56667
3,Assen,Netherlands,52.99667,6.5625
4,Alkmaar,Netherlands,52.63167,4.74861
5,Lelystad,Netherlands,52.50833,5.475
6,Leeuwarden,Netherlands,53.20139,5.80859
7,Den Helder,Netherlands,52.95988,4.75933
8,Amsterdam,Netherlands,52.37403,4.88969
9,Haarlem,Netherlands,52.38084,4.63683
10,Oss,Netherlands,51.765,5.51806
11,Den Bosch,Netherlands,51.69917,5.30417
12,Houten,Netherlands,52.02833,5.16806
13,Wageningen,Netherlands,51.97,5.66667
14,Nijmegen,Netherlands,51.8425,5.85278
15,Venlo,Netherlands,51.37,6.16806
16,Heerlen,Netherlands,50.88365,5.98154
17,Maastricht,Netherlands,50.84833,5.68889
18,Maasbracht,Netherlands,51.13929,5.88627
19,Eindhoven,Netherlands,51.44083,5.47778
20,Yerseke,Netherlands,51.4925,4.05
21,Vlissingen,Netherlands,51.4425,3.57361
22,Gouda,Netherlands,52.01667,4.70833
23,Nieuwegen,Netherlands,52.02917,5.08056
24,Tilburg,Netherlands,51.55551,5.0913
25,Dordrecht,Netherlands,51.81,4.67361
26,Bergen op Zoom,Netherlands,51.495,4.29167
27,Breda,Netherlands,51.58656,4.77596
28,Middelburg,Netherlands,51.5,3.61389
29,Zierikzee,Netherlands,51.65,3.91944
30,Utrecht,Netherlands,52.09083,5.12222
31,Breukelen,Netherlands,52.17417,5.00139
32,Leiden,Netherlands,52.15833,4.49306
33,Oegstgeest,Netherlands,52.18,4.46944
34,Lisse,Netherlands,52.26,4.55694
35,Schiphol-Rijk,Netherlands,52.3,4.75
36,Hilversum,Netherlands,52.22333,5.17639
37,Rotterdam,Netherlands,51.9225,4.47917
38,Delft,Netherlands,52.00667,4.35556
39,Den Haag,Netherlands,52.07667,4.29861
40,Emmen,Netherlands,52.77917,6.90694
41,Winschoten,Netherlands,53.14417,7.03472
42,Arnhem,Netherlands,51.98,5.91111
43,Apeldoorn,Netherlands,52.21,5.96944
44,Zutphen,Netherlands,52.13833,6.20139
45,Enschede,Netherlands,52.21833,6.89583
46,Deventer,Netherlands,52.255,6.16389
47,Zwolle,Netherlands,52.5125,6.09444
48,Meppel,Netherlands,52.69583,6.19444
49,Hoogeveen,Netherlands,52.7225,6.47639
