id,city,country,latitude,longitude
0,Sarasota,United States,27.33643,-82.53065
1,Fort Myers,United States,26.62168,-81.84059
2,Tampa,United States,27.94752,-82.45843
3,Clearwater,United States,27.96585,-82.8001
4,West Palm Beach,United States,26.71534,-80.05337
5,Melbourne,United States,28.08363,-80.60811
6,Fort Lauderdale,United States,26.12231,-80.14338
7,Miami,United States,25.77427,-80.19366
8,Norfolk,United States,36.84681,-76.28522
9,Lynchburg,United States,37.41375,-79.14225
10,Titusville,United States,28.61222,-80.80755
11,Orlando,United States,28.53834,-81.37924
12,Harrisonburg,United States,38.44957,-78.86892
13,Charlottesville,United States,38.02931,-78.47668
14,Winchester,United States,39.18566,-78.16333
15,Fredericksburg,United States,38.30318,-77.46054
16,Newark,United States,40.73566,-74.17237
17,Central New Jersey,United States,39.65984,-75.51464
18,Detroit,United States,42.33143,-83.04575
19,Erie,United States,42.12922,-80.08506
20,Buffalo,United States,42.88645,-78.87837
21,Syracuse,United States,43.04812,-76.14742
22,Rome-Utica,United States,43.1009,-75.23266
23,Burlington,United States,44.47588,-73.21207
24,Albany,United States,42.65258,-73.75623
25,New York City,United States,40.71427,-74.00597
26,"Washington, DC",United States,38.89511,-77.03637
27,Daytona Beach,United States,29.21081,-81.02283
28,Coudersport,United States,41.77479,-78.02056
29,Roanoke,United States,37.27097,-79.94143
30,Danville,United States,36.58597,-79.39502
31,Staunton,United States,38.14958,-79.0717
32,Charleston,United States,38.34982,-81.63262
33,Baltimore,United States,39.29038,-76.61219
34,Fayetteville,United States,35.05266,-78.87836
35,Charlotte,United States,35.22709,-80.84313
36,Tri-Cities,United States,36.51736,-82.35489
37,Hickory,United States,35.73319,-81.3412
38,Winston-Salem,United States,36.09986,-80.24422
39,Greensboro,United States,36.07264,-79.79198
40,Philadelphia,United States,39.95234,-75.16379
41,Allentown,United States,40.60843,-75.49018
42,Harrisburg,United States,40.2737,-76.88442
43,Lancaster,United States,40.03788,-76.30551
44,Scranton,United States,41.40897,-75.66241
45,State College,United States,40.7934,-77.86
46,Frederick,United States,39.41427,-77.41054
47,Columbia,United States,34.00071,-81.03481
48,Richmond,United States,37.55376,-77.46026
49,Pittsburgh,United States,40.44062,-79.99589
50,Columbus,United States,39.96118,-82.99879
51,Greenville,United States,34.85262,-82.39401
52,Augusta,United States,33.47097,-81.97484
53,Savannah,United States,32.08354,-81.09983
54,Jacksonville,United States,30.33218,-81.65565
55,Spartanburg,United States,34.94957,-81.93205
56,Lexington,United States,37.98869,-84.47772
57,Louisville,United States,38.25424,-85.75941
58,Nashville,United States,36.16589,-86.78444
59,Atlanta,United States,33.749,-84.38798
60,York,United States,40.71427,-74.00597
61,Raleigh,United States,35.7721,-78.63861
62,Wilmington,United States,34.22573,-77.94471
63,Pensacola,United States,30.42131,-87.21691
64,Tallahassee,United States,30.43826,-84.28073
65,Wichita,United States,37.69224,-97.33754
66,Kansas City,United States,39.11417,-94.62746
67,Little Rock,United States,34.74648,-92.28959
68,Houston,United States,29.76328,-95.36327
69,New Orleans,United States,29.95465,-90.07507
70,Baton Rouge,United States,30.45075,-91.15455
71,Jackson,United States,32.29876,-90.18481
72,Mobile,United States,30.69436,-88.04305
