source_id,target_id,rtt
0,0,0.0
0,1,0.7023409824280157
0,2,1.6501548418066316
0,3,2.7574682312895096
0,4,3.298690020831762
0,5,3.1645422055880967
1,0,0.7023409824280157
1,1,0.0
1,2,0.947813859378616
1,3,2.055127248861494
1,4,2.5963490384037464
1,5,3.8668831880161125
2,0,1.6501548418066316
2,1,0.947813859378616
2,2,0.0
2,3,1.1073133894828777
2,4,1.6485351790251304
2,5,3.758732372457506
3,0,2.7574682312895096
3,1,2.055127248861494
3,2,1.1073133894828777
3,3,0.0
3,4,0.5412217895422526
3,5,2.6514189829746284
4,0,3.298690020831762
4,1,2.5963490384037464
4,2,1.6485351790251304
4,3,0.5412217895422526
4,4,0.0
4,5,2.1101971934323758
5,0,3.1645422055880967
5,1,3.8668831880161125
5,2,3.758732372457506
5,3,2.6514189829746284
5,4,2.1101971934323758
5,5,0.0
