id,city,country,latitude,longitude
0,Denizli,Turkey,37.77417,29.0875
1,Usak,Turkey,38.67351,29.4058
2,Aydin,Turkey,37.84501,27.83963
3,Mugla,Turkey,37.21807,28.3665
4,Burdur,Turkey,37.72028,30.29083
5,Antalya,Turkey,36.9125,30.68972
6,Afyonkarahisar,Turkey,38.75667,30.54333
7,Isparta,Turkey,37.76444,30.55222
8,Batman,Turkey,37.88738,41.13221
9,Siirt,Turkey,37.93262,41.94025
10,Gazimagusa,,0.0,0.0
11,Yalova,Turkey,40.65502,29.27693
12,Amasya,Turkey,40.65333,35.83306
13,Tokat,Turkey,40.31389,36.55444
14,Nigde,Turkey,37.96583,34.67935
15,Hatay,Turkey,36.20655,36.15722
16,Adiyaman,Turkey,37.76441,38.27629
17,K. Maras,,0.0,0.0
18,Erzurum,Turkey,39.90861,41.27694
19,Bartin,Turkey,41.63583,32.3375
20,Karabuk,Turkey,41.20488,32.62768
21,Mersin,Turkey,36.79526,34.61792
22,Karaman,Turkey,37.18111,33.215
23,Aksaray,Turkey,38.37255,34.02537
24,Konya,Turkey,37.86556,32.4825
25,Sinop,Turkey,42.03087,35.17124
26,Samsun,Turkey,41.28667,36.33
27,Adana,Turkey,37.00167,35.32889
28,Bilecik,Turkey,40.14192,29.97932
29,Giresun,Turkey,40.91698,38.38741
30,Hakkari,Turkey,37.57444,43.74083
31,Elazig,Turkey,38.67431,39.22321
32,Ardahan,Turkey,41.10871,42.70222
33,Artvin,Turkey,41.18222,41.81944
34,Corum,Turkey,40.54889,34.95333
35,Bingol,Turkey,38.88472,40.49389
36,Van,Turkey,38.49239,43.38311
37,Osmaniye,Turkey,37.07417,36.24778
38,Agri,Turkey,39.71944,43.05139
39,Ordu,Turkey,40.98472,37.87889
40,Mardin,Turkey,37.31309,40.74357
41,Malatya,Turkey,38.35018,38.31667
42,Sirnak,Turkey,37.52278,42.45944
43,Diyarbakir,Turkey,37.91583,40.21889
44,Yozgat,Turkey,39.82,34.80444
45,Kayseri,Turkey,38.73222,35.48528
46,Kars,Turkey,40.60199,43.09495
47,Nevsehir,Turkey,38.625,34.71222
48,Gaziantep,Turkey,37.05944,37.3825
49,Kirikkale,Turkey,39.84528,33.50639
50,Kilis,Turkey,36.71611,37.115
51,GEANT,,0.0,0.0
52,Kirsehir,Turkey,39.14583,34.16389
53,Cankiri,Turkey,40.59995,33.6153
54,Kastamonu,Turkey,41.37805,33.77528
55,Mus,Turkey,38.74525,41.50693
56,Eskisehir,Turkey,39.77667,30.52056
57,Kocaeli,Turkey,40.76694,29.91694
58,Sakarya,Turkey,40.78056,30.40333
59,Bitlis,Turkey,38.40115,42.10784
60,Bursa,Turkey,40.19167,29.06111
61,Bolu,Turkey,40.73583,31.60611
62,Duzce,Turkey,40.83889,31.16389
63,Zonguldak,Turkey,41.45139,31.79305
64,Rize,Turkey,41.02083,40.52194
65,S. Urfa,,0.0,0.0
66,Internet,,0.0,0.0
68,Trabzon,Turkey,41.005,39.72694
69,Igdir,Turkey,39.92371,44.045
70,Manisa,Turkey,38.61202,27.42646
71,Kutahya,Turkey,39.42417,29.98333
72,Erzincan,Turkey,39.75222,39.49278
73,Sivas,Turkey,39.74833,37.01611
74,Istanbul,Turkey,41.01384,28.94966
75,iZMiR,Turkey,38.41273,27.13838
76,Ankara,Turkey,39.91987,32.85427
77,Kirklareli,Turkey,41.73508,27.22521
78,Tekirdag,Turkey,40.97801,27.50852
79,Edirne,Turkey,41.67719,26.55597
80,Canakkale,Turkey,40.14556,26.40639
81,Balikesin,Turkey,39.64917,27.88611
