id,city,country,latitude,longitude
0,UiO,Norway,59.91273,10.74609
2,HiG Gjovik,Norway,60.79574,10.69155
3,UiO St Olavsplass,Norway,59.91273,10.74609
4,Statenskartverkgeodesi,Norway,60.16804,10.25647
5,HiBU Kongsberg,Norway,59.66858,9.65017
6,UNIK Kjeller,Norway,59.98333,11.03333
7,HiBu Honefoss,Norway,60.16804,10.25647
26,UiTo,Norway,69.6489,18.95508
9,HiN Narvik,Norway,68.43838,17.4272
10,HiBU Drammen,Norway,59.74389,10.20449
11,HVE Borre,Norway,59.41111,10.43
12,HiF Vadso,Norway,70.07436,29.74872
13,HiF Kirkenes,Norway,69.72706,30.04578
14,HiF Hammerfest,Norway,70.66336,23.68209
15,HiF Alta,Norway,69.96887,23.27165
16,HSH Stord,Norway,59.75,5.48333
17,UiB Hoyteklogibygget,Norway,60.39299,5.32415
18,HiT Porsgrunn,Norway,59.14054,9.6561
19,UiA Arendal,Norway,58.46151,8.77253
20,Hit Rauland,Norway,59.73333,8.0
21,UiA Grimstad,Norway,58.3405,8.59343
22,UiA Kristiansand,Norway,58.14671,7.9956
23,UiS Stavanger,Norway,58.97005,5.73332
24,VetHS Sandnes,Norway,58.85244,5.73521
25,HSH Haugesund,Norway,59.41378,5.268
27,HVE Eik,Norway,59.61667,10.35
28,Longyearbyen Skole,Svalbard and Jan Mayen,70.9221,-8.7187
29,HiH Harstad,Norway,68.79833,16.54165
30,NRS Andoya,Norway,69.12806,15.8575
31,SA/SH Kautokeino,Norway,69.01247,23.04116
32,HiNT Namsos,Norway,64.46624,11.49572
33,UNIS Svalbard,Svalbard and Jan Mayen,70.9221,-8.7187
34,HiNT Steinkjer,Norway,64.01487,11.49537
35,HiNe Sandnesjoen,Norway,66.02166,12.63158
36,HiNe Nesna,Norway,66.19672,13.02133
37,NB Mo i Rana,Norway,66.31278,14.14278
38,HBO Mo i Rana,Norway,66.31278,14.14278
39,HBO Bodo,Norway,67.28,14.40501
40,HSF Songdal,Norway,61.22829,7.10026
41,UiB BT,Norway,60.39299,5.32415
42,HiA Alesund,Norway,62.47225,6.15492
43,HSF Forde,Norway,61.45217,5.85717
44,HSM Molde,Norway,62.73752,7.15912
45,HVO Volda,Norway,62.14762,6.07408
46,HSM Kristiansun,Norway,63.11045,7.72795
47,HiNT Levanger,Norway,63.6,10.96667
48,UiTo Karasjok,Norway,69.47187,25.51122
49,HiT Bo,Norway,59.43333,9.06667
50,HiT Notodden,Norway,59.55936,9.25853
51,Hing Stjordal,Norway,63.41667,10.95
52,HiAK Kjeller,Norway,59.98333,11.03333
53,HRP Halden,Norway,59.12478,11.38754
54,HVE Larvik,Norway,59.05328,10.03517
55,Eiscat,Svalbard and Jan Mayen,70.9221,-8.7187
56,HiO Sarpsborg,Norway,59.28391,11.10962
57,HiO Halden,Norway,59.12478,11.38754
58,UMB As,Norway,63.96667,10.2
59,HiO Fredrikstad,Norway,59.2181,10.9298
60,NyAlesund,Svalbard and Jan Mayen,70.9221,-8.7187
61,HSF Sandane,Norway,61.77277,6.21496
62,NPolar Svalbard,Svalbard and Jan Mayen,70.9221,-8.7187
63,HiNe Mo i Rana,Norway,66.31278,14.14278
64,HH Hamar,Norway,60.7945,11.06798
65,HiL Lillehammer,Norway,61.11514,10.46628
66,NTNU Hovedbygget,Norway,63.43049,10.39506
67,NTNU Realfagbygget,Norway,63.43049,10.39506
68,UNINETT Teknobyen,Norway,63.43049,10.39506
69,HH Tynset,Norway,62.27594,10.78241
70,HH Evenstad,Norway,64.86667,11.11667
71,HH Rena,Norway,61.13484,11.36409
72,HH Elverum,Norway,60.88191,11.56231
73,HH Kongsvinger,Norway,60.19049,11.99772
