source_id,target_id
0,3
0,6
0,23
0,28
0,32
0,48
0,49
0,54
0,62
0,68
2,3
2,60
3,5
3,22
3,45
3,46
3,61
4,5
4,7
5,10
5,54
6,51
7,51
8,9
8,29
8,36
8,37
8,62
8,65
9,26
10,11
10,50
12,13
12,15
12,29
12,32
12,61
13,15
13,29
13,40
14,30
14,31
15,42
15,56
15,62
16,17
16,22
16,39
16,61
17,25
18,19
18,20
18,23
18,46
20,21
21,22
22,23
22,24
22,61
24,25
25,38
26,29
26,61
27,35
27,36
27,61
28,32
30,56
31,44
33,40
34,35
34,62
39,41
41,63
42,44
42,56
46,47
47,53
48,50
49,50
52,54
53,54
54,55
57,64
57,66
59,60
59,67
61,62
61,63
62,63
63,64
66,67
67,68
