id,city,country,latitude,longitude
0,UiO,Norway,59.91273,10.74609
2,HiG Gjovik,Norway,60.79574,10.69155
3,UiO St Olavsplass,Norway,59.91273,10.74609
4,HiBU Kongsberg,Norway,59.66858,9.65017
5,HiBU Drammen,Norway,59.74389,10.20449
6,UNIK Kjeller,Norway,59.98333,11.03333
7,HiBu Honefoss,Norway,60.16804,10.25647
8,NB Mo i Rana,Norway,66.31278,14.14278
9,HiNe Nesna,Norway,66.19672,13.02133
10,HVE Borre,Norway,59.41111,10.43
11,HVE Larvik,Norway,59.05328,10.03517
12,HiN Narvik,Norway,68.43838,17.4272
13,HiH Harstad,Norway,68.79833,16.54165
14,UiTo Karasjok,Norway,69.47187,25.51122
15,UiTo,Norway,69.6489,18.95508
16,HiA Alesund,Norway,62.47225,6.15492
17,HVO Volda,Norway,62.14762,6.07408
18,UiS Stavanger,Norway,58.97005,5.73332
19,VetHS Sandnes,Norway,58.85244,5.73521
20,HSH Haugesund,Norway,59.41378,5.268
21,HSH Stord,Norway,59.75,5.48333
22,UiB Hoyteklogibygget,Norway,60.39299,5.32415
23,UiB BT,Norway,60.39299,5.32415
24,HSF Songdal,Norway,61.22829,7.10026
25,HSF Forde,Norway,61.45217,5.85717
26,HiNe Sandnesjoen,Norway,66.02166,12.63158
27,HiNT Steinkjer,Norway,64.01487,11.49537
28,NORDUnet Stockholm,,0.0,0.0
29,HBO Bodo,Norway,67.28,14.40501
30,SA/SH Kautokeino,Norway,69.01247,23.04116
31,HiF Kirkenes,Norway,69.72706,30.04578
32,Stockholm,Sweden,59.33258,18.0649
33,NyAlesund,Svalbard and Jan Mayen,70.9221,-8.7187
34,Hing Stjordal,Norway,63.41667,10.95
35,HiNT Levanger,Norway,63.6,10.96667
36,HiNT Namsos,Norway,64.46624,11.49572
37,HiNe Mo i Rana,Norway,66.31278,14.14278
38,HSF Sandane,Norway,61.77277,6.21496
39,HSM Molde,Norway,62.73752,7.15912
40,UNIS Svalbard,Svalbard and Jan Mayen,70.9221,-8.7187
41,HSM Kristiansun,Norway,63.11045,7.72795
42,HiF Hammerfest,Norway,70.66336,23.68209
44,HiF Vadso,Norway,70.07436,29.74872
45,NORDUnet Kobenhavn,,0.0,0.0
46,UiA Kristiansand,Norway,58.14671,7.9956
47,UiA Grimstad,Norway,58.3405,8.59343
48,HiO Halden,Norway,59.12478,11.38754
49,UMB As,Norway,63.96667,10.2
50,HiO Fredrikstad,Norway,59.2181,10.9298
51,HiAK Kjeller,Norway,59.98333,11.03333
52,Hit Rauland,Norway,59.73333,8.0
53,HiT Porsgrunn,Norway,59.14054,9.6561
54,HiT Bo,Norway,59.43333,9.06667
55,HiT Notodden,Norway,59.55936,9.25853
56,HiF Alta,Norway,69.96887,23.27165
57,HH Evenstad,Norway,64.86667,11.11667
59,HH Hamar,Norway,60.7945,11.06798
60,HiL Lillehammer,Norway,61.11514,10.46628
61,NTNU Hovedbygget,Norway,63.43049,10.39506
62,NTNU Realfagbygget,Norway,63.43049,10.39506
63,UNINETT Teknobyen,Norway,63.43049,10.39506
64,HH Tynset,Norway,62.27594,10.78241
65,HBO Mo i Rana,Norway,66.31278,14.14278
66,HH Rena,Norway,61.13484,11.36409
67,HH Elverum,Norway,60.88191,11.56231
68,HH Kongsvinger,Norway,60.19049,11.99772
