id,city,country,latitude,longitude
0,Kherson,Ukraine,46.63333,32.6
1,Mykolaiv,Ukraine,46.96667,32.0
2,Sevastopol,Ukraine,44.58883,33.5224
3,Simferopol,Ukraine,44.95844,34.10558
4,Vinnitsa,Ukraine,49.23333,28.48333
5,Khmelnitsky,Ukraine,49.41667,27.0
6,Odessa,Ukraine,46.47747,30.73262
7,Kamianets-Podilsky,Ukraine,48.66667,26.56667
8,Frankfurt (Internet),,0.0,0.0
9,Poznan (GEANT & Internet),,0.0,0.0
10,Cherkassy,Ukraine,49.43333,32.06667
11,Odessa-IX,,0.0,0.0
12,Kharkiv-IX,,0.0,0.0
13,UA-IX,,0.0,0.0
14,Zaporizhia,Ukraine,47.81667,35.18333
15,Dnipropetrovsk,Ukraine,48.45,34.98333
16,Lviv,Ukraine,49.83826,24.02324
17,Lutsk,Ukraine,50.75,25.33333
18,Zhitomir,Ukraine,50.25,28.66667
19,Kiev,Ukraine,50.45466,30.5238
20,Pereyaslav,Ukraine,50.08333,31.46667
21,Poltava,Ukraine,49.58333,34.56667
22,Kharkiv,Ukraine,50.0,36.25
23,Donetsk,Ukraine,48.0,37.8
