source_id,target_id
0,1
0,3
0,4
11,9
11,39
3,39
4,5
4,6
4,13
4,21
4,22
4,25
4,45
5,8
6,7
6,9
7,20
8,9
9,10
9,13
9,14
9,23
9,25
9,27
9,31
9,33
9,34
9,45
12,13
12,14
13,14
13,25
13,27
13,31
13,33
13,43
13,45
14,15
14,18
14,37
15,17
15,18
16,17
16,33
17,18
18,19
18,33
20,21
20,39
21,23
21,24
21,48
24,25
25,26
25,27
25,33
25,43
25,45
25,48
26,28
27,28
27,43
27,45
27,47
29,41
30,43
31,32
31,35
31,38
31,45
32,37
32,47
33,34
35,45
37,38
39,40
39,41
41,42
42,43
43,44
43,45
44,45
45,46
46,47
