id,city,country,latitude,longitude
0,Montreal,Canada,45.50884,-73.58781
1,Halifax,Canada,44.646,-63.57333
2,London,Canada,42.98339,-81.23304
3,Ottawa,Canada,45.41117,-75.69812
4,New York,United States,40.71427,-74.00597
5,Philadelphia,United States,39.95234,-75.16379
6,Boston,United States,42.35843,-71.05977
7,Hartford,United States,41.76371,-72.68509
8,Baltimore,United States,39.29038,-76.61219
9,"Washington, DC",United States,38.89511,-77.03637
10,Stockholm,,0.0,0.0
12,Austin,United States,30.26715,-97.74306
13,Dallas,United States,32.78306,-96.80667
14,Houston,United States,29.76328,-95.36327
15,New Orleans,United States,29.95465,-90.07507
16,Jacksonville,United States,30.33218,-81.65565
17,Orlando,United States,28.53834,-81.37924
18,Miami,United States,25.77427,-80.19366
19,Monaco,,0.0,0.0
20,Buffalo,United States,42.88645,-78.87837
21,Cleveland,United States,41.4995,-81.69541
22,Cologne,,0.0,0.0
23,Pittsburgh,United States,40.44062,-79.99589
24,Detroit,United States,42.33143,-83.04575
25,Chicago,United States,41.85003,-87.65005
26,Indianapolis,United States,39.76838,-86.15804
27,Kansas City,United States,39.11417,-94.62746
28,St Louis,United States,38.62727,-90.19789
29,Edmonton,Canada,53.55014,-113.46871
30,Tokyo,,0.0,0.0
31,Los Angeles,United States,34.05223,-118.24368
32,Las Vegas,United States,36.17497,-115.13722
33,Atlanta,United States,33.749,-84.38798
34,Raleigh,United States,35.7721,-78.63861
35,Hawaii,,0.0,0.0
37,Phoenix,United States,33.44838,-112.07404
38,San Diego,United States,32.71533,-117.15726
39,Toronto,Canada,43.70011,-79.4163
40,Kitchener,Canada,43.4501,-80.48299
41,Calgary,Canada,51.05011,-114.08529
42,Vancouver,Canada,49.24966,-123.11934
43,Seattle,United States,47.60621,-122.33207
44,Portland,United States,45.52345,-122.67621
45,San Francisco,United States,37.77493,-122.41942
46,Salt Lake City,United States,40.76078,-111.89105
47,Denver,United States,39.73915,-104.9847
48,Minneapolis,United States,44.97997,-93.26384
