id,city,country,latitude,longitude
0,Hue,Vietnam,16.46667,107.6
1,VN HN,Vietnam,21.0245,105.84117
2,HCM,Vietnam,10.75,106.66667
3,DN,Vietnam,16.06778,108.22083
4,KR,South Korea,37.0,127.5
5,JP,Japan,35.68536,139.75309
6,HK,Hong Kong,22.25,114.16667
7,CN,China,35.0,105.0
8,PH,Philippines,13.0,122.0
9,Nha Trang,Vietnam,12.25,109.18333
10,Vinh,Vietnam,10.25,105.96667
11,Thai Nguyen,Vietnam,21.59278,105.84417
12,An Giang,Vietnam,10.38333,105.41667
13,Da Lat,Vietnam,11.94646,108.44193
14,Hai Phong,Vietnam,20.85611,106.68222
15,AU,Australia,-25.0,135.0
16,CT,Vietnam,10.03333,105.78333
17,TH,Thailand,15.0,100.0
18,MY,Malaysia,2.5,112.5
19,ID,Indonesia,-5.0,120.0
20,Abilene Internet2 USA,,0.0,0.0
21,Internet,,0.0,0.0
22,EU,,0.0,0.0
24,SG,Singapore,1.36667,103.8
