id,city,country,latitude,longitude
0,KDDI Otemachi,Japan,35.68333,139.76667
1,Nezu,Japan,35.71732,139.76575
2,Yagami,Japan,32.76667,129.95
3,ShinKawasaki,Japan,35.55159,139.6716
4,Hachioji,Japan,35.65583,139.32389
5,Bangkok,Thailand,13.75,100.51667
6,NTT Otemachi,Japan,35.68333,139.76667
7,Tsukuba,Japan,36.2,140.1
8,NSPIXP-,,0.0,0.0
9,JGN2Plus,,0.0,0.0
10,Dojima,Japan,34.68333,135.48333
11,PAIX,,0.0,0.0
12,TITECH,,0.0,0.0
13,T-Lex,,0.0,0.0
15,AI,,0.0,0.0
16,LAIIX,,0.0,0.0
17,DIX-IE,,0.0,0.0
18,KDDI,,0.0,0.0
19,APAN,,0.0,0.0
20,Los Angeles,United States,34.05223,-118.24368
21,Fujisawa,Japan,35.34194,139.47
22,Nara,Japan,34.68505,135.80485
23,Fukuoka,Japan,33.60639,130.41806
24,Hiroshima,Japan,34.39627,132.45937
25,Kurashiki,Japan,34.58333,133.76667
26,Sakyo,Japan,33.78333,129.8
27,Komatsu,Japan,36.40263,136.45088
28,Sendai,Japan,38.26889,140.87194
29,San Francisco,United States,37.77493,-122.41942
