id,city,country,latitude,longitude
0,Baltimore,United States,39.29038,-76.61219
1,Lexington,United States,37.98869,-84.47772
2,Tulsa,United States,36.15398,-95.99278
3,Kansas City,United States,39.11417,-94.62746
4,Memphis,United States,35.14953,-90.04898
5,Jackson,United States,32.29876,-90.18481
6,Louisville,United States,38.25424,-85.75941
7,Nashville,United States,36.16589,-86.78444
8,Lake Charles,United States,30.21309,-93.2044
9,Baton Rouge,United States,30.45075,-91.15455
10,Jacksonville,United States,30.33218,-81.65565
11,Fort Lauderdale,United States,26.12231,-80.14338
12,Tampa,United States,27.94752,-82.45843
13,Austin,United States,30.26715,-97.74306
14,Columbus,United States,39.96118,-82.99879
15,Greensboro,United States,36.07264,-79.79198
16,Birmingham,United States,33.52066,-86.80249
17,Montgomery,United States,32.36681,-86.29997
18,New Orleans,United States,29.95465,-90.07507
19,Mobile,United States,30.69436,-88.04305
20,Charlotte,United States,35.22709,-80.84313
21,Columbia,United States,34.00071,-81.03481
22,Greenville,United States,34.85262,-82.39401
23,Atlanta,United States,33.749,-84.38798
24,Dallas,United States,32.78306,-96.80667
25,Little Rock,United States,34.74648,-92.28959
26,Las Vegas,United States,36.17497,-115.13722
27,Colorado Springs,United States,38.83388,-104.82136
28,Albuquerque,United States,35.08449,-106.65114
29,Tucson,United States,32.22174,-110.92648
30,El Paso,United States,31.75872,-106.48693
31,Fort Worth,United States,32.72541,-97.32085
32,San Antonio,United States,29.42412,-98.49363
33,Houston,United States,29.76328,-95.36327
