id,city,country,latitude,longitude
A,city A,country A,-43.20570968217602,-54.0
B,city B,country B,-28.716284451647844,-72.0
C,city C,country C,-43.20570968217602,-90.0
D,city D,country D,-54.92377482354154,-72.0
E,city E,country E,-43.20570968217602,18.0
F,city F,country F,-28.716284451647844,0.0
G,city G,country G,-43.20570968217602,-18.0
H,city H,country H,-54.92377482354154,0.0
I,city I,country I,68.79262378615894,90.0
J,city J,country J,74.42735056940509,72.0
K,city K,country K,68.79262378615894,54.0
L,city L,country L,61.247692871618455,72.0
