id,city,country,latitude,longitude
A,city A,country A,-46.96914686632526,-70.0
B,city B,country B,-39.709690906390165,-80.0
C,city C,country C,-46.96914686632526,-90.0
D,city D,country D,-53.361965448852324,-80.0
E,city E,country E,-46.96914686632526,10.0
F,city F,country F,-39.709690906390165,0.0
G,city G,country G,-46.96914686632526,-10.0
H,city H,country H,-53.361965448852324,0.0
I,city I,country I,72.3325877942396,90.0
J,city J,country J,75.12741546355403,80.0
K,city K,country K,72.3325877942396,70.0
L,city L,country L,69.03248285013666,80.0
