source_id,target_id,rtt
A,B,22.793537400166592
A,C,29.001302531649213
A,D,18.41681734258378
A,G,29.001302531649234
B,A,22.793537400166592
B,C,22.793537400166592
B,D,29.19424160265727
C,A,29.001302531649213
C,B,22.793537400166592
C,D,18.41681734258378
D,A,18.41681734258378
D,B,29.19424160265727
D,C,18.41681734258378
E,F,22.793537400166592
E,G,29.001302531649234
E,H,18.41681734258378
F,E,22.793537400166592
F,G,22.793537400166592
F,H,29.19424160265727
F,L,119.0941971445674
G,A,29.001302531649234
G,E,29.001302531649234
G,F,22.793537400166592
G,H,18.41681734258378
H,E,18.41681734258378
H,F,29.19424160265727
H,G,18.41681734258378
I,J,8.844096599470607
I,K,14.299388425775085
I,L,11.846037358836027
J,I,8.844096599470607
J,K,8.844096599470607
J,L,14.681684724843112
K,I,14.299388425775085
K,J,8.844096599470607
K,L,11.846037358836027
L,F,119.0941971445674
L,I,11.846037358836027
L,J,14.681684724843112
L,K,11.846037358836027
