source_id,target_id,throughput
a0,a1,1.0
a0,a2,1.0
a0,a3,1.0
a0,a4,1.0
a0,a5,1.0
a0,a6,1.0
a0,b0,0.25
a1,a2,1.0
a1,a3,1.0
a1,a4,1.0
a1,a5,1.0
a1,a6,1.0
a2,a3,1.0
a2,a4,1.0
a2,a5,1.0
a2,a6,1.0
a3,a4,1.0
a3,a5,1.0
a3,a6,1.0
a4,a5,1.0
a4,a6,1.0
a5,a6,1.0
b0,b1,1.0
b0,b2,1.0
b0,b3,1.0
b0,b4,1.0
b0,b5,1.0
b0,b6,1.0
b1,b2,1.0
b1,b3,1.0
b1,b4,1.0
b1,b5,1.0
b1,b6,1.0
b2,b3,1.0
b2,b4,1.0
b2,b5,1.0
b2,b6,1.0
b3,b4,1.0
b3,b5,1.0
b3,b6,1.0
b4,b5,1.0
b4,b6,1.0
b5,b6,1.0
