source_id,target_id,throughput
ALBA,BOST,74326413.05
ALBA,CLEV,8143866846.28555
ALBA,HART2,1428698612.64444
ALBA,HOLY,1338925587.74
ASHB,ATLA,2623837086.26908
ASHB,CLEV,49914256463.3382
ASHB,NEWY32AOA,18175432375.0678
ASHB,PHIL,9188506119.07624
ASHB,PITT,2334970886.41
ASHB,RALE,9742802905.14
ASHB,WASH,19969538223.51608
ATLA,ASHB,11791806665.6733
ATLA,CHAR,1610693007.09176
ATLA,JACK,3848270837.21476
ATLA,NASH,4079014667.82644
BOIS,SALT,1016762313.39414
BOIS,SEAT,129544156.786172
BOST,ALBA,167313678.907421
BOST,BOST2,2585924966.25219
BOST2,BOST,3068564137.48141
BOST2,HART2,16289375307.0766
BOST2,HOLY,56751.0398067489
CHAR,ATLA,1024191262.02984
CHAR,RALE,22233174014.866
CHIC,CINC,10693010819.8233
CHIC,EQCH,45886036032.7605
CHIC,INDI,3570271921.71606
CHIC,KANS,71259666674.3783
CHIC,STAR,7993512414.33222
CINC,CHIC,9287043829.40664
CINC,CLEV,2383921014.79968
CINC,INDI,2611756837.72323
CINC,LOUI,251440.299817851
CINC,NASH,9119585752.81347
CLEV,ALBA,23926102286.9033
CLEV,ASHB,28926352369.858803
CLEV,CINC,8809240951.40076
CLEV,EQCH,61216647306.0719
CLEV,NEWY32AOA,56833.8410178176
CLEV,PITT,1705246399.1721
CLEV,TOLE2,945414082.202223
DALL,DALL3,11069077315.80763
DALL,HOUS,7850935264.4835
DALL,KANS,20051107176.4967
DALL,TULS,2024038596.76784
DALL3,DALL,23821458407.971558
DENV,ELPA,1240110407.918281
DENV,KANS,48623154601.6549
DENV,SALT,64803940433.8788
ELPA,DENV,412191370.22397804
ELPA,HOUS,5349785948.283794
ELPA,LOSA,7708046987.80668
ELPA,TUCS,1090261198.51111
EQCH,CHIC,63330560091.695
EQCH,CLEV,58015333512.0595
EQCH,MINN,1909555114.3649218
EQCH,STAR,21708215727.09839
EQCH,TOLE2,1969268042.33556
FARG,MINN,0.0
FARG,SEAT,0.0
HART2,ALBA,1321639415.11889
HART2,BOST2,9733318370.88112
HART2,NEWY32AOA,25389166357.38
HOLY,ALBA,898160649.4
HOLY,BOST2,56944.4733333333
HOUH,HOUS,7149977305.22556
HOUH,PENS,1689725224.07444
HOUS,DALL,5050394416.24118
HOUS,ELPA,7881037061.453791
HOUS,HOUH,4655031770.00556
HOUS,JCSN,967591988.724625
HOUS,NASH,4012300735.17667
INDI,CHIC,599514180.351111
INDI,CINC,125610989.603334
JACK,ATLA,4300118562.55111
JACK,PENS,2798445290.94
JCSN,HOUS,44887936.0211111
JCSN,NASH,647781451.48
KANS,CHIC,52319853617.621704
KANS,DALL,11948886501.7456
KANS,DENV,65733615531.42081
KANS,MINN,210719543.770196
KANS,TULS,6792316900.15317
LASV,LOSA,387192496.574736
LASV,SALT,99311041.3779228
LOSA,ELPA,4146406349.54278
LOSA,LASV,1596545467.60637
LOSA,LOSA2,32496786191.313923
LOSA,PHOE,2403995007.09111
LOSA,SALT,21256854768.9556
LOSA,SUNN,4463047155.24946
LOSA2,LOSA,9163141322.17416
LOUI,CINC,540069.523213278
LOUI,NASH,48177036.0536574
MINN,EQCH,1067406161.341636
MINN,FARG,1777874876.26238
MINN,KANS,105730813.852431
MINN,MISS,181296200.541034
MISS,MINN,16431391.8311404
MISS,SEAT,376438954.583199
NASH,ATLA,3475269412.27555
NASH,CINC,4858524175.13088
NASH,HOUS,3536432109.15082
NASH,JCSN,492901785.306955
NASH,LOUI,130405409.136518
NEWY32AOA,ASHB,41197801967.5328
NEWY32AOA,CLEV,56417.0591253251
NEWY32AOA,HART2,10444735664.2837
NEWY32AOA,PHIL,3144942928.61166
PENS,HOUH,2619687715.92358
PENS,JACK,1500552890.08406
PHIL,ASHB,16400519798.0389
PHIL,NEWY32AOA,198451489.577778
PHOE,LOSA,2512438092.85565
PHOE,TUCS,472096583.762666
PITT,ASHB,5956597774.47778
PITT,CLEV,1054369316.40333
PORT,SACR,158270149.216667
PORT,SEAT,1026173419.15333
RALE,ASHB,27083752201.3295
RALE,CHAR,2468334617.54102
SACR,PORT,122748228.484603
SACR,SALT,6879357316.8898
SACR,SEAT,2718299964.86333
SACR,SUNN,15160704258.8919
SALT,BOIS,1446914389.82
SALT,DENV,35532728071.4922
SALT,LASV,1926425057.78
SALT,LOSA,45833743752.7522
SALT,SACR,7407643367.81444
SALT,SEAT,21339021191.5089
SANJ,SUNN,6759548491.304606
SEAT,BOIS,69965.6066666667
SEAT,FARG,0.0
SEAT,MISS,762227632.595556
SEAT,PORT,2827545498.40778
SEAT,SACR,2602063609.96333
SEAT,SALT,9006546782.01
STAR,CHIC,10264343688.2222
STAR,EQCH,59358902627.20221
SUNN,LOSA,7631433752.66778
SUNN,SACR,9504639560.43666
SUNN,SANJ,10475054564.855549
TOLE2,CLEV,1514176582.85111
TOLE2,EQCH,2685831931.65889
TUCS,ELPA,1624723689.27889
TUCS,PHOE,2427755973.80222
TULS,DALL,1492798306.08556
TULS,KANS,8220898709.92889
WASH,ASHB,39852922798.08221
